District,crop_name,crop_type,Area,Production
PURNIA,Mango,fruits,2575,25470.32
ROHTAS,Mango,fruits,5712,58923.79
SAHARSA,Mango,fruits,2232,23399.18
SAMASTIPUR,Mango,fruits,10645,99309.33
SARAN,Mango,fruits,5178,50009.66
SHEIKHPURA,Mango,fruits,912,9728.0
SHEOHAR,Mango,fruits,2705,27030.0
SITAMARHI,Mango,fruits,5300,51575.54
SIWAN,Mango,fruits,2510,25150.1
SUPAUL,Mango,fruits,1300,13079.88
VAISHALI,Mango,fruits,8456,85898.42
ARARIA,Muskmelon,fruits,-,-
ARWAL,Muskmelon,fruits,0,300
AURANGABAD,Muskmelon,fruits,0,200
BANKA,Muskmelon,fruits,-,-
BEGUSARAI,Muskmelon,fruits,0,400
BHAGALPUR,Muskmelon,fruits,0,500
BHOJPUR,Muskmelon,fruits,100,1100
BUXAR,Muskmelon,fruits,0,600
DARBHANGA,Muskmelon,fruits,0,300
GAYA,Muskmelon,fruits,-,-
GOPALGANJ,Muskmelon,fruits,0,300
JAMUI,Muskmelon,fruits,0,100
JEHANABAD,Muskmelon,fruits,0,400
KAIMUR (BHABUA),Muskmelon,fruits,0,100
KATIHAR,Muskmelon,fruits,0,300
KHAGARIA,Muskmelon,fruits,0,300
KISHANGANJ,Muskmelon,fruits,-,-
LAKHISARAI,Muskmelon,fruits,-,-
MADHEPURA,Muskmelon,fruits,-,-
MADHUBANI,Muskmelon,fruits,0,200
MUNGER,Muskmelon,fruits,100,600
MUZAFFARPUR,Muskmelon,fruits,0,500
NALANDA,Muskmelon,fruits,-,-
NAWADA,Muskmelon,fruits,0,300
PASHCHIM CHAMPARAN,Muskmelon,fruits,0,300
PATNA,Muskmelon,fruits,900,1200
PURBI CHAMPARAN,Muskmelon,fruits,0,300
PURNIA,Muskmelon,fruits,0,300
ROHTAS,Muskmelon,fruits,0,100
SAHARSA,Muskmelon,fruits,0,300
SAMASTIPUR,Muskmelon,fruits,0,500
SARAN,Muskmelon,fruits,100,1000
SHEIKHPURA,Muskmelon,fruits,-,-
SHEOHAR,Muskmelon,fruits,0,200
SITAMARHI,Muskmelon,fruits,0,300
SIWAN,Muskmelon,fruits,400,600
SUPAUL,Muskmelon,fruits,0,100
VAISHALI,Muskmelon,fruits,100,1200
ARARIA,Papaya,fruits,-,-
ARWAL,Papaya,fruits,-,-
AURANGABAD,Papaya,fruits,100,2700
BANKA,Papaya,fruits,,4500
BEGUSARAI,Papaya,fruits,100,2000
BHAGALPUR,Papaya,fruits,100,1300
BHOJPUR,Papaya,fruits,,800
BUXAR,Papaya,fruits,,700
DARBHANGA,Papaya,fruits,100,1300
GAYA,Papaya,fruits,,700
GOPALGANJ,Papaya,fruits,100,1300
JAMUI,Papaya,fruits,,400
JEHANABAD,Papaya,fruits,,600
KAIMUR (BHABUA),Papaya,fruits,,600
KATIHAR,Papaya,fruits,100,1500
KHAGARIA,Papaya,fruits,300,700
KISHANGANJ,Papaya,fruits,,1100
LAKHISARAI,Papaya,fruits,,500
MADHEPURA,Papaya,fruits,100,1400
MADHUBANI,Papaya,fruits,,900
MUNGER,Papaya,fruits,,1000
MUZAFFARPUR,Papaya,fruits,100,2000
NALANDA,Papaya,fruits,,900
NAWADA,Papaya,fruits,,900
PASHCHIM CHAMPARAN,Papaya,fruits,100,1500
PATNA,Papaya,fruits,100,2500
PURBI CHAMPARAN,Papaya,fruits,,1000
PURNIA,Papaya,fruits,100,1500
ROHTAS,Papaya,fruits,,1300
SAHARSA,Papaya,fruits,115,1610
SAMASTIPUR,Papaya,fruits,103,2472
SARAN,Papaya,fruits,,800
SHEIKHPURA,Papaya,fruits,,500
SHEOHAR,Papaya,fruits,,500
SITAMARHI,Papaya,fruits,,800
SIWAN,Papaya,fruits,,1100
SUPAUL,Papaya,fruits,,500
VAISHALI,Papaya,fruits,-,-
ARARIA,Pineapple,fruits,300,7200
ARWAL,Pineapple,fruits,-,-
AURANGABAD,Pineapple,fruits,-,-
BANKA,Pineapple,fruits,-,-
BEGUSARAI,Pineapple,fruits,-,-
BHAGALPUR,Pineapple,fruits,-,-
BHOJPUR,Pineapple,fruits,-,-
BUXAR,Pineapple,fruits,-,-
DARBHANGA,Pineapple,fruits,-,-
GAYA,Pineapple,fruits,-,-
GOPALGANJ,Pineapple,fruits,-,-
JAMUI,Pineapple,fruits,-,-
JEHANABAD,Pineapple,fruits,-,-
KAIMUR (BHABUA),Pineapple,fruits,-,-
KATIHAR,Pineapple,fruits,200,5800
KHAGARIA,Pineapple,fruits,-,-
KISHANGANJ,Pineapple,fruits,2110,59883.89
LAKHISARAI,Pineapple,fruits,-,-
MADHEPURA,Pineapple,fruits,-,-
MADHUBANI,Pineapple,fruits,-,-
MUNGER,Pineapple,fruits,-,-
MUZAFFARPUR,Pineapple,fruits,-,-
NALANDA,Pineapple,fruits,-,-
NAWADA,Pineapple,fruits,-,-
PASHCHIM CHAMPARAN,Pineapple,fruits,-,-
PATNA,Pineapple,fruits,-,-
PURBI CHAMPARAN,Pineapple,fruits,-,-
PURNIA,Pineapple,fruits,1700,43700
ROHTAS,Pineapple,fruits,-,-
SAHARSA,Pineapple,fruits,-,-
